"state","average_order_value"
"Wyoming","1603.14"
"Vermont","1488.23"
"Rhode Island","905.12"
"Missouri","740.17"
"Indiana","733.64"
"Nevada","727.35"
"District of Columbia","716.26"
"Montana","698.67"
"Minnesota","678.71"
"Michigan","651.88"
"Delaware","623.89"
"Virginia","614.23"
"Wisconsin","605.94"
"West Virginia","604.91"
"Kentucky","599.86"
"New Jersey","586.30"
"Oklahoma","578.92"
"Alabama","573.84"
"New York","553.16"
"Washington","541.57"
"Georgia","539.51"
"Maryland","515.34"
"Massachusetts","461.85"
"North Dakota","459.96"
"California","448.27"
"Florida","447.37"
"Louisiana","438.91"
"Arkansas","432.52"
"Utah","431.54"
"New Hampshire","428.97"
"South Carolina","424.09"
"Maine","423.51"
"Mississippi","414.28"
"North Carolina","408.85"
"Colorado","406.43"
"Pennsylvania","404.56"
"Idaho","398.41"
"Texas","349.46"
"Tennessee","336.94"
"Ohio","331.60"
"Arizona","326.69"
"Nebraska","324.56"
"Oregon","311.27"
"Connecticut","297.43"
"Illinois","290.46"
"Iowa","269.40"
"South Dakota","263.11"
"New Mexico","217.43"
"Kansas","208.17"
