"discount","order_lines","revenue","profit","profit_margin_pct"
"0.0000","4798","1087908.47","320987.88","29.51"
"0.1000","94","54369.30","9029.21","16.61"
"0.1500","52","27558.59","1418.98","5.15"
"0.2000","3657","764594.28","90338.16","11.82"
"0.3000","227","103226.76","-10369.34","-10.05"
"0.3200","27","14493.45","-2391.16","-16.50"
"0.4000","206","116417.83","-23057.08","-19.81"
"0.4500","11","5484.98","-2493.12","-45.45"
"0.5000","66","58918.65","-20506.51","-34.80"
"0.6000","138","6644.68","-5944.64","-89.46"
"0.7000","418","40620.40","-40075.46","-98.66"
"0.8000","300","16963.68","-30539.13","-180.03"
