"state","customers"
"California","577"
"New York","415"
"Texas","370"
"Pennsylvania","257"
"Illinois","237"
"Washington","224"
"Ohio","202"
"Florida","181"
"North Carolina","122"
"Virginia","107"
"Michigan","106"
"Arizona","100"
"Tennessee","84"
"Georgia","83"
"Colorado","75"
"Indiana","70"
"Massachusetts","62"
"New Jersey","61"
"Kentucky","58"
"Wisconsin","52"
"Oregon","51"
"Maryland","45"
"Delaware","43"
"Connecticut","43"
"Minnesota","42"
"Oklahoma","34"
"Alabama","34"
"Missouri","28"
"Arkansas","27"
"Utah","26"
"Mississippi","25"
"Rhode Island","25"
"Nebraska","23"
"Nevada","23"
"New Mexico","22"
"Louisiana","21"
"South Carolina","19"
"Iowa","17"
"New Hampshire","17"
"Kansas","14"
"Idaho","11"
"Montana","8"
"South Dakota","5"
"Vermont","5"
"District of Columbia","4"
"Maine","3"
"West Virginia","2"
"North Dakota","2"
"Wyoming","1"
