"product_name","profit"
"Cubify CubeX 3D Printer Double Head Print","-8879.97"
"Lexmark MX611dhe Monochrome Laser Printer","-4589.97"
"Cubify CubeX 3D Printer Triple Head Print","-3839.99"
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","-2876.11"
"Bush Advantage Collection Racetrack Conference Table","-1934.40"
"GBC DocuBind P400 Electric Binding System","-1878.17"
"Cisco TelePresence System EX90 Videoconferencing Unit","-1811.08"
"Martin Yale Chadless Opener Electric Letter Opener","-1299.19"
"Balt Solid Wood Round Tables","-1201.06"
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","-1148.44"
