"year","quarter","revenue","profit","orders"
2014,1,"74447.86","3811.20","131"
2014,2,"86538.77","11204.16","201"
2014,3,"143633.18","12804.73","267"
2014,4,"179627.75","21723.97","370"
2015,1,"68851.74","9264.94","144"
2015,2,"89124.28","12190.92","214"
2015,3,"130259.51","16853.70","274"
2015,4,"182296.93","23309.13","406"
2016,1,"93237.20","11441.39","179"
2016,2,"136082.33","16390.30","294"
2016,3,"143787.43","15823.63","378"
2016,4,"236098.90","38139.95","464"
2017,1,"123144.84","23506.21","240"
2017,2,"133764.33","15499.42","367"
2017,3,"196251.94","26985.26","448"
2017,4,"280054.08","27448.88","632"
