"state","customers","revenue","revenue_per_customer"
"Vermont","5","8929.37","1785.87"
"Wyoming","1","1603.14","1603.14"
"Rhode Island","25","22627.96","905.12"
"California","577","457687.68","793.22"
"Missouri","28","22205.15","793.04"
"Indiana","70","53555.36","765.08"
"New York","415","310876.20","749.10"
"Nevada","23","16729.10","727.35"
"Michigan","106","76269.61","719.52"
"District of Columbia","4","2865.02","716.26"
"Minnesota","42","29863.15","711.03"
"Montana","8","5589.35","698.67"
"Virginia","107","70636.72","660.16"
"Delaware","43","27451.07","638.40"
"Kentucky","58","36591.75","630.89"
"Washington","224","138641.29","618.93"
"Wisconsin","52","32114.61","617.59"
"West Virginia","2","1209.82","604.91"
"Georgia","83","49095.84","591.52"
"New Jersey","61","35764.32","586.30"
"Oklahoma","34","19683.39","578.92"
"Alabama","34","19510.64","573.84"
"Maryland","45","23705.52","526.79"
"Florida","181","89473.73","494.33"
"Massachusetts","62","28634.44","461.85"
"Texas","370","170187.98","459.97"
"North Dakota","2","919.91","459.96"
"North Carolina","122","55603.09","455.76"
"Pennsylvania","257","116512.02","453.35"
"South Carolina","19","8481.71","446.41"
"Louisiana","21","9217.03","438.91"
"Arkansas","27","11678.13","432.52"
"Utah","26","11220.06","431.54"
"Mississippi","25","10771.34","430.85"
"New Hampshire","17","7292.52","428.97"
"Colorado","75","32108.12","428.11"
"Maine","3","1270.53","423.51"
"Idaho","11","4382.49","398.41"
"Ohio","202","78258.21","387.42"
"Tennessee","84","30661.92","365.02"
"Arizona","100","35282.02","352.82"
"Oregon","51","17431.14","341.79"
"Illinois","237","80166.16","338.25"
"Nebraska","23","7464.93","324.56"
"Connecticut","43","13384.36","311.26"
"Iowa","17","4579.76","269.40"
"South Dakota","5","1315.56","263.11"
"New Mexico","22","4783.54","217.43"
"Kansas","14","2914.31","208.17"
