"month_number","month_name","revenue","profit"
1,"January  ","94924.87","9134.48"
2,"February ","59751.26","10294.62"
3,"March    ","205005.51","28594.64"
4,"April    ","137762.16","11587.57"
5,"May      ","155028.83","22411.36"
6,"June     ","152718.72","21285.87"
7,"July     ","147238.11","13832.75"
8,"August   ","159043.99","21777.07"
9,"September","307649.96","36857.50"
10,"October  ","200323.03","31784.20"
11,"November ","352461.09","35468.50"
12,"December ","325293.54","43369.23"
