"state","revenue","profit","profit_margin_pct"
"California","457687.68","76381.60","16.69"
"New York","310876.20","74038.64","23.82"
"Texas","170187.98","-25729.29","-15.12"
"Washington","138641.29","33402.70","24.09"
"Pennsylvania","116512.02","-15560.04","-13.35"
"Florida","89473.73","-3399.25","-3.80"
"Illinois","80166.16","-12607.89","-15.73"
"Ohio","78258.21","-16971.37","-21.69"
"Michigan","76269.61","24463.15","32.07"
"Virginia","70636.72","18598.00","26.33"
"North Carolina","55603.09","-7490.81","-13.47"
"Indiana","53555.36","18382.97","34.33"
"Georgia","49095.84","16250.08","33.10"
"Kentucky","36591.75","11199.70","30.61"
"New Jersey","35764.32","9772.91","27.33"
"Arizona","35282.02","-3427.87","-9.72"
"Wisconsin","32114.61","8401.78","26.16"
"Colorado","32108.12","-6527.86","-20.33"
"Tennessee","30661.92","-5341.66","-17.42"
"Minnesota","29863.15","10823.22","36.24"
"Massachusetts","28634.44","6785.55","23.70"
"Delaware","27451.07","9977.37","36.35"
"Maryland","23705.52","7031.20","29.66"
"Rhode Island","22627.96","7285.64","32.20"
"Missouri","22205.15","6436.19","28.99"
"Oklahoma","19683.39","4853.98","24.66"
"Alabama","19510.64","5786.85","29.66"
"Oregon","17431.14","-1190.48","-6.83"
"Nevada","16729.10","3316.76","19.83"
"Connecticut","13384.36","3511.44","26.24"
"Arkansas","11678.13","4008.65","34.33"
"Utah","11220.06","2546.56","22.70"
"Mississippi","10771.34","3172.98","29.46"
"Louisiana","9217.03","2196.09","23.83"
"Vermont","8929.37","2244.98","25.14"
"South Carolina","8481.71","1769.08","20.86"
"Nebraska","7464.93","2037.10","27.29"
"New Hampshire","7292.52","1706.50","23.40"
"Montana","5589.35","1833.32","32.80"
"New Mexico","4783.54","1157.13","24.19"
"Iowa","4579.76","1183.81","25.85"
"Idaho","4382.49","826.73","18.86"
"Kansas","2914.31","836.45","28.70"
"District of Columbia","2865.02","1059.59","36.98"
"Wyoming","1603.14","100.20","6.25"
"South Dakota","1315.56","394.84","30.01"
"Maine","1270.53","454.50","35.77"
"West Virginia","1209.82","185.93","15.37"
"North Dakota","919.91","230.14","25.02"
