"sub_category","revenue","profit","profit_margin_pct"
"Phones","330007.10","44516.25","13.49"
"Chairs","328449.13","26590.15","8.10"
"Storage","223843.59","21279.05","9.51"
"Tables","206965.68","-17725.59","-8.56"
"Binders","203412.77","30221.64","14.86"
"Machines","189238.68","3384.73","1.79"
"Accessories","167380.31","41936.78","25.05"
"Copiers","149528.01","55617.90","37.20"
"Bookcases","114880.05","-3472.56","-3.02"
"Appliances","107532.14","18138.07","16.87"
"Furnishings","91705.12","13059.25","14.24"
"Paper","78479.24","34053.34","43.39"
"Supplies","46673.52","-1188.99","-2.55"
"Art","27118.80","6527.96","24.07"
"Envelopes","16476.38","6964.10","42.27"
"Labels","12486.30","5546.18","44.42"
"Fasteners","3024.25","949.53","31.40"
