"city","state","revenue","profit"
"New York City","New York","256368.12","62037.08"
"Los Angeles","California","175851.33","30440.94"
"Seattle","Washington","119540.74","29156.13"
"San Francisco","California","112669.09","17507.39"
"Philadelphia","Pennsylvania","109077.09","-13837.83"
"Houston","Texas","64504.71","-10153.48"
"Chicago","Illinois","48539.59","-6654.55"
"San Diego","California","47521.05","6377.24"
"Detroit","Michigan","42446.94","13181.79"
"Jacksonville","Florida","39133.36","-2445.63"
