"month","revenue","profit"
"2017-11-01","118447.81","9690.10"
"2016-12-01","96999.07","17885.28"
"2017-09-01","87866.66","10991.57"
"2017-12-01","83829.31","8483.40"
"2014-09-01","81777.34","8328.08"
"2016-11-01","79412.03","4011.45"
"2014-11-01","78628.74","9292.15"
"2017-10-01","77776.96","9275.38"
"2015-11-01","75972.51","12474.80"
"2015-12-01","74919.52","8016.96"
"2016-09-01","73410.09","9328.68"
"2014-12-01","69545.64","8983.59"
"2015-09-01","64595.87","8209.17"
"2017-08-01","63120.85","9041.09"
"2016-10-01","59687.80","16243.22"
"2017-03-01","58872.35","14751.87"
"2016-05-01","56987.75","8662.09"
"2014-03-01","55691.04","498.72"
"2017-06-01","52981.73","8223.42"
"2016-03-01","51715.86","3611.98"
"2017-07-01","45264.43","6952.60"
"2017-05-01","44261.08","6342.70"
"2017-01-01","43971.37","7140.45"
"2016-06-01","40344.54","4750.33"
"2016-07-01","39261.99","4432.90"
"2016-04-01","38750.04","2977.88"
"2015-03-01","38726.26","9732.07"
"2015-08-01","36898.32","5355.82"
"2017-04-01","36521.52","933.30"
"2014-06-01","34595.14","4976.56"
"2015-04-01","34195.25","4187.53"
"2014-07-01","33946.37","-841.46"
"2014-10-01","31453.37","3448.23"
"2015-10-01","31404.90","2817.37"
"2016-08-01","31115.35","2062.05"
"2015-05-01","30131.72","4667.83"
"2015-07-01","28765.32","3288.71"
"2014-04-01","28295.35","3488.86"
"2014-08-01","27909.47","5318.11"
"2015-06-01","24797.31","3335.56"
"2014-05-01","23648.28","2738.74"
"2016-02-01","22978.82","5004.59"
"2017-02-01","20301.12","1613.89"
"2016-01-01","18542.52","2824.82"
"2015-01-01","18174.08","-3280.97"
"2014-01-01","14236.90","2450.18"
"2015-02-01","11951.40","2813.84"
"2014-02-01","4519.92","862.30"
