"month","category","revenue"
"2014-01-01","Furniture","6242.53"
"2014-01-01","Office Supplies","4851.08"
"2014-01-01","Technology","3143.29"
"2014-02-01","Furniture","1839.66"
"2014-02-01","Office Supplies","1071.75"
"2014-02-01","Technology","1608.51"
"2014-03-01","Furniture","14573.98"
"2014-03-01","Office Supplies","8605.89"
"2014-03-01","Technology","32511.17"
"2014-04-01","Furniture","7944.83"
"2014-04-01","Office Supplies","11155.08"
"2014-04-01","Technology","9195.44"
"2014-05-01","Furniture","6912.80"
"2014-05-01","Office Supplies","7135.62"
"2014-05-01","Technology","9599.86"
"2014-06-01","Furniture","13206.12"
"2014-06-01","Office Supplies","12953.07"
"2014-06-01","Technology","8435.95"
"2014-07-01","Furniture","10821.07"
"2014-07-01","Office Supplies","15121.16"
"2014-07-01","Technology","8004.14"
"2014-08-01","Furniture","7320.35"
"2014-08-01","Office Supplies","11379.45"
"2014-08-01","Technology","9209.67"
"2014-09-01","Furniture","23816.48"
"2014-09-01","Office Supplies","27423.29"
"2014-09-01","Technology","30537.57"
"2014-10-01","Furniture","12304.24"
"2014-10-01","Office Supplies","7211.11"
"2014-10-01","Technology","11938.02"
"2014-11-01","Furniture","21564.86"
"2014-11-01","Office Supplies","26862.46"
"2014-11-01","Technology","30201.42"
"2014-12-01","Furniture","30645.97"
"2014-12-01","Office Supplies","18006.45"
"2014-12-01","Technology","20893.22"
"2015-01-01","Furniture","11739.93"
"2015-01-01","Office Supplies","1808.79"
"2015-01-01","Technology","4625.36"
"2015-02-01","Furniture","3134.37"
"2015-02-01","Office Supplies","5368.06"
"2015-02-01","Technology","3448.97"
"2015-03-01","Furniture","12499.79"
"2015-03-01","Office Supplies","15882.55"
"2015-03-01","Technology","10343.92"
"2015-04-01","Furniture","10475.71"
"2015-04-01","Office Supplies","12558.56"
"2015-04-01","Technology","11160.98"
"2015-05-01","Furniture","9374.97"
"2015-05-01","Office Supplies","9113.77"
"2015-05-01","Technology","11642.98"
"2015-06-01","Furniture","7714.18"
"2015-06-01","Office Supplies","10647.76"
"2015-06-01","Technology","6435.37"
"2015-07-01","Furniture","13674.42"
"2015-07-01","Office Supplies","4719.94"
"2015-07-01","Technology","10370.96"
"2015-08-01","Furniture","9638.59"
"2015-08-01","Office Supplies","11735.09"
"2015-08-01","Technology","15524.64"
"2015-09-01","Furniture","26273.03"
"2015-09-01","Office Supplies","19305.73"
"2015-09-01","Technology","19017.11"
"2015-10-01","Furniture","12026.64"
"2015-10-01","Office Supplies","8673.39"
"2015-10-01","Technology","10704.87"
"2015-11-01","Furniture","30880.80"
"2015-11-01","Office Supplies","21218.10"
"2015-11-01","Technology","23873.61"
"2015-12-01","Furniture","23085.83"
"2015-12-01","Office Supplies","16201.68"
"2015-12-01","Technology","35632.01"
"2016-01-01","Furniture","7622.76"
"2016-01-01","Office Supplies","5299.69"
"2016-01-01","Technology","5620.07"
"2016-02-01","Furniture","3925.55"
"2016-02-01","Office Supplies","6794.35"
"2016-02-01","Technology","12258.92"
"2016-03-01","Furniture","12801.10"
"2016-03-01","Office Supplies","17346.91"
"2016-03-01","Technology","21567.85"
"2016-04-01","Furniture","13212.10"
"2016-04-01","Office Supplies","10647.43"
"2016-04-01","Technology","14890.51"
"2016-05-01","Furniture","15119.83"
"2016-05-01","Office Supplies","13035.20"
"2016-05-01","Technology","28832.72"
"2016-06-01","Furniture","13070.59"
"2016-06-01","Office Supplies","10901.80"
"2016-06-01","Technology","16372.15"
"2016-07-01","Furniture","13068.53"
"2016-07-01","Office Supplies","12924.46"
"2016-07-01","Technology","13269.00"
"2016-08-01","Furniture","12483.22"
"2016-08-01","Office Supplies","8959.73"
"2016-08-01","Technology","9672.40"
"2016-09-01","Furniture","27262.91"
"2016-09-01","Office Supplies","23263.78"
"2016-09-01","Technology","22883.40"
"2016-10-01","Furniture","11872.60"
"2016-10-01","Office Supplies","16281.82"
"2016-10-01","Technology","31533.38"
"2016-11-01","Furniture","31783.63"
"2016-11-01","Office Supplies","20487.32"
"2016-11-01","Technology","27141.08"
"2016-12-01","Furniture","36678.73"
"2016-12-01","Office Supplies","37997.58"
"2016-12-01","Technology","22322.76"
"2017-01-01","Furniture","5964.04"
"2017-01-01","Office Supplies","21274.29"
"2017-01-01","Technology","16733.04"
"2017-02-01","Furniture","6866.32"
"2017-02-01","Office Supplies","7407.77"
"2017-02-01","Technology","6027.03"
"2017-03-01","Furniture","10893.44"
"2017-03-01","Office Supplies","14550.29"
"2017-03-01","Technology","33428.62"
"2017-04-01","Furniture","9065.93"
"2017-04-01","Office Supplies","15072.19"
"2017-04-01","Technology","12383.40"
"2017-05-01","Furniture","16957.55"
"2017-05-01","Office Supplies","13736.95"
"2017-05-01","Technology","13566.58"
"2017-06-01","Furniture","19008.61"
"2017-06-01","Office Supplies","16912.00"
"2017-06-01","Technology","17061.12"
"2017-07-01","Furniture","11813.03"
"2017-07-01","Office Supplies","10241.48"
"2017-07-01","Technology","23209.92"
"2017-08-01","Furniture","15441.85"
"2017-08-01","Office Supplies","30059.84"
"2017-08-01","Technology","17619.16"
"2017-09-01","Furniture","29028.22"
"2017-09-01","Office Supplies","31895.84"
"2017-09-01","Technology","26942.60"
"2017-10-01","Furniture","21884.11"
"2017-10-01","Office Supplies","23037.21"
"2017-10-01","Technology","32855.64"
"2017-11-01","Furniture","37056.73"
"2017-11-01","Office Supplies","31472.31"
"2017-11-01","Technology","49918.77"
"2017-12-01","Furniture","31407.45"
"2017-12-01","Office Supplies","30436.92"
"2017-12-01","Technology","21984.94"
