"state","round","cumulative_pct"
"California","457687.68","19.92"
"New York","310876.20","33.46"
"Texas","170187.98","40.87"
"Washington","138641.29","46.90"
"Pennsylvania","116512.02","51.97"
"Florida","89473.73","55.87"
"Illinois","80166.16","59.36"
"Ohio","78258.21","62.76"
"Michigan","76269.61","66.08"
"Virginia","70636.72","69.16"
"North Carolina","55603.09","71.58"
"Indiana","53555.36","73.91"
"Georgia","49095.84","76.05"
"Kentucky","36591.75","77.64"
"New Jersey","35764.32","79.20"
"Arizona","35282.02","80.73"
"Wisconsin","32114.61","82.13"
"Colorado","32108.12","83.53"
"Tennessee","30661.92","84.86"
"Minnesota","29863.15","86.16"
"Massachusetts","28634.44","87.41"
"Delaware","27451.07","88.61"
"Maryland","23705.52","89.64"
"Rhode Island","22627.96","90.62"
"Missouri","22205.15","91.59"
"Oklahoma","19683.39","92.45"
"Alabama","19510.64","93.29"
"Oregon","17431.14","94.05"
"Nevada","16729.10","94.78"
"Connecticut","13384.36","95.36"
"Arkansas","11678.13","95.87"
"Utah","11220.06","96.36"
"Mississippi","10771.34","96.83"
"Louisiana","9217.03","97.23"
"Vermont","8929.37","97.62"
"South Carolina","8481.71","97.99"
"Nebraska","7464.93","98.31"
"New Hampshire","7292.52","98.63"
"Montana","5589.35","98.87"
"New Mexico","4783.54","99.08"
"Iowa","4579.76","99.28"
"Idaho","4382.49","99.47"
"Kansas","2914.31","99.60"
"District of Columbia","2865.02","99.72"
"Wyoming","1603.14","99.79"
"South Dakota","1315.56","99.85"
"Maine","1270.53","99.91"
"West Virginia","1209.82","99.96"
"North Dakota","919.91","100.00"
