"month","region","revenue"
"2014-01-01","Central","1539.91"
"2014-01-01","East","436.18"
"2014-01-01","South","9322.09"
"2014-01-01","West","2938.72"
"2014-02-01","Central","1233.18"
"2014-02-01","East","199.78"
"2014-02-01","South","2028.99"
"2014-02-01","West","1057.97"
"2014-03-01","Central","5827.58"
"2014-03-01","East","5943.39"
"2014-03-01","South","32911.16"
"2014-03-01","West","11008.91"
"2014-04-01","Central","3712.35"
"2014-04-01","East","3054.90"
"2014-04-01","South","12184.61"
"2014-04-01","West","9343.49"
"2014-05-01","Central","4048.48"
"2014-05-01","East","7250.13"
"2014-05-01","South","5779.23"
"2014-05-01","West","6570.44"
"2014-06-01","Central","9646.30"
"2014-06-01","East","10759.17"
"2014-06-01","South","4560.26"
"2014-06-01","West","9629.41"
"2014-07-01","Central","6740.57"
"2014-07-01","East","3568.13"
"2014-07-01","South","1829.12"
"2014-07-01","West","21808.55"
"2014-08-01","Central","3022.18"
"2014-08-01","East","4582.45"
"2014-08-01","South","7056.60"
"2014-08-01","West","13248.24"
"2014-09-01","Central","34408.69"
"2014-09-01","East","25292.75"
"2014-09-01","South","7175.35"
"2014-09-01","West","14900.55"
"2014-10-01","Central","8965.76"
"2014-10-01","East","8945.11"
"2014-10-01","South","4813.75"
"2014-10-01","West","8728.75"
"2014-11-01","Central","14057.58"
"2014-11-01","East","33950.77"
"2014-11-01","South","7428.76"
"2014-11-01","West","23191.63"
"2014-12-01","Central","10635.58"
"2014-12-01","East","24697.69"
"2014-12-01","South","8755.96"
"2014-12-01","West","25456.41"
"2015-01-01","Central","2510.51"
"2015-01-01","East","4671.00"
"2015-01-01","South","4965.83"
"2015-01-01","West","6026.74"
"2015-02-01","Central","2527.58"
"2015-02-01","East","6463.13"
"2015-02-01","South","1156.52"
"2015-02-01","West","1804.17"
"2015-03-01","Central","6730.26"
"2015-03-01","East","6011.75"
"2015-03-01","South","10322.10"
"2015-03-01","West","15662.15"
"2015-04-01","Central","11642.08"
"2015-04-01","East","7778.81"
"2015-04-01","South","5718.33"
"2015-04-01","West","9056.03"
"2015-05-01","Central","8623.91"
"2015-05-01","East","7481.44"
"2015-05-01","South","1983.70"
"2015-05-01","West","12042.67"
"2015-06-01","Central","3713.19"
"2015-06-01","East","7442.99"
"2015-06-01","South","8552.17"
"2015-06-01","West","5088.96"
"2015-07-01","Central","7605.55"
"2015-07-01","East","11872.67"
"2015-07-01","South","2197.26"
"2015-07-01","West","7089.84"
"2015-08-01","Central","9301.45"
"2015-08-01","East","9463.77"
"2015-08-01","South","5584.75"
"2015-08-01","West","12548.35"
"2015-09-01","Central","7578.53"
"2015-09-01","East","29440.96"
"2015-09-01","South","13677.47"
"2015-09-01","West","13898.91"
"2015-10-01","Central","7000.49"
"2015-10-01","East","6302.03"
"2015-10-01","South","4085.72"
"2015-10-01","West","14016.66"
"2015-11-01","Central","18903.07"
"2015-11-01","East","34724.71"
"2015-11-01","South","7795.84"
"2015-11-01","West","14548.89"
"2015-12-01","Central","16737.62"
"2015-12-01","East","24678.75"
"2015-12-01","South","5320.28"
"2015-12-01","West","28182.87"
"2016-01-01","Central","5942.16"
"2016-01-01","East","4860.10"
"2016-01-01","South","4082.43"
"2016-01-01","West","3657.83"
"2016-02-01","Central","1115.72"
"2016-02-01","East","3149.82"
"2016-02-01","South","15613.11"
"2016-02-01","West","3100.17"
"2016-03-01","Central","13153.80"
"2016-03-01","East","16764.88"
"2016-03-01","South","4238.18"
"2016-03-01","West","17559.00"
"2016-04-01","Central","7462.36"
"2016-04-01","East","17839.95"
"2016-04-01","South","2965.70"
"2016-04-01","West","10482.03"
"2016-05-01","Central","11743.98"
"2016-05-01","East","22589.30"
"2016-05-01","South","11960.21"
"2016-05-01","West","10694.26"
"2016-06-01","Central","6553.13"
"2016-06-01","East","11737.43"
"2016-06-01","South","3455.89"
"2016-06-01","West","18598.09"
"2016-07-01","Central","8894.46"
"2016-07-01","East","8524.20"
"2016-07-01","South","6562.42"
"2016-07-01","West","15280.91"
"2016-08-01","Central","6982.55"
"2016-08-01","East","9264.94"
"2016-08-01","South","3050.02"
"2016-08-01","West","11817.84"
"2016-09-01","Central","17503.22"
"2016-09-01","East","20262.51"
"2016-09-01","South","12023.46"
"2016-09-01","West","23620.90"
"2016-10-01","Central","25832.36"
"2016-10-01","East","15065.47"
"2016-10-01","South","3165.25"
"2016-10-01","West","15624.72"
"2016-11-01","Central","16910.34"
