"month","monthly_revenue","rolling_3_month_avg"
"2014-01-01","14236.90","14236.90"
"2014-02-01","4519.92","9378.41"
"2014-03-01","55691.04","24815.95"
"2014-04-01","28295.35","29502.10"
"2014-05-01","23648.28","35878.22"
"2014-06-01","34595.14","28846.26"
"2014-07-01","33946.37","30729.93"
"2014-08-01","27909.47","32150.33"
"2014-09-01","81777.34","47877.73"
"2014-10-01","31453.37","47046.73"
"2014-11-01","78628.74","63953.15"
"2014-12-01","69545.64","59875.92"
"2015-01-01","18174.08","55449.49"
"2015-02-01","11951.40","33223.71"
"2015-03-01","38726.26","22950.58"
"2015-04-01","34195.25","28290.97"
"2015-05-01","30131.72","34351.08"
"2015-06-01","24797.31","29708.09"
"2015-07-01","28765.32","27898.12"
"2015-08-01","36898.32","30153.65"
"2015-09-01","64595.87","43419.84"
"2015-10-01","31404.90","44299.70"
"2015-11-01","75972.51","57324.43"
"2015-12-01","74919.52","60765.64"
"2016-01-01","18542.52","56478.18"
"2016-02-01","22978.82","38813.62"
"2016-03-01","51715.86","31079.07"
"2016-04-01","38750.04","37814.91"
"2016-05-01","56987.75","49151.22"
"2016-06-01","40344.54","45360.78"
"2016-07-01","39261.99","45531.43"
"2016-08-01","31115.35","36907.29"
"2016-09-01","73410.09","47929.14"
"2016-10-01","59687.80","54737.75"
"2016-11-01","79412.03","70836.64"
"2016-12-01","96999.07","78699.63"
"2017-01-01","43971.37","73460.82"
"2017-02-01","20301.12","53757.19"
"2017-03-01","58872.35","41048.28"
"2017-04-01","36521.52","38565.00"
"2017-05-01","44261.08","46551.65"
"2017-06-01","52981.73","44588.11"
"2017-07-01","45264.43","47502.41"
"2017-08-01","63120.85","53789.00"
"2017-09-01","87866.66","65417.31"
"2017-10-01","77776.96","76254.82"
"2017-11-01","118447.81","94697.14"
"2017-12-01","83829.31","93351.36"
